Name,ISIN,issue date,maturity date,coupon,16,17,18,19,20,23,24,25,26,27
CAN 2.75 Sep 27,CA135087N837,13/5/2022,1/9/2027,0.0275,99.1,99.22,99.71,99.71,99.24,99.14,99.15,99.29,99.24,99.86
CAN 1.75 Mar 23,CA135087H490,6/10/2017,1/3/2023,0.0175,99.71,99.7,99.72,99.72,99.74,99.75,99.76,99.77,99.78,99.79
CAN 2.25 Mar 24,CA135087J546,5/10/2018,1/3/2024,0.0225,97.93,97.86,97.97,97.93,97.86,97.86,97.84,97.95,97.93,97.84
CAN 1.5 Sep 24,CA135087J967,5/4/2019,1/9/2024,0.0150,96.48,96.45,96.58,96.5,96.4,96.4,96.39,96.47,96.48,96.29
CAN 1.25 Mar 25,CA135087K528,11/10/2019,1/3/2025,0.0125,95.38,95.42,95.61,95.59,95.44,95.38,95.34,95.47,95.5,95.3
CAN 0.5 Sep 25,CA135087K940,3/4/2020,1/9/2025,0.0050,92.74,92.75,93.03,93.03,92.87,92.82,92.81,92.97,93,92.72
CAN 0.25 Mar 26,CA135087L518,9/10/2020,1/3/2026,0.0025,91.08,91.19,91.43,91.51,91.32,91.23,91.21,91.41,91.45,91.17
CAN 1 Sep 26,CA135087L930,16/4/2021,1/9/2026,0.0100,92.72,92.84,93.24,93.29,92.95,92.9,92.91,93.05,93.04,92.77
CAN 1.25 Mar 27,CA135087M847,15/10/2021,1/3/2027,0.0125,93.14,93.25,93.73,93.78,93.39,93.33,93.35,93.5,93.46,93.14
CAN 3.5 Mar 28,CA135087P576,21/10/2022,1/3/2028,0.0350,102.73,102.84,103.4,103.38,102.83,102.73,102.77,102.92,102.82,102.4
